id,name,urls,created_at,queryParamsToRemove,logo_url,blacklisted_paths,provider,deprecated,incognito_support
1,LinkedIn,"[""https://www.linkedin.com""]",2024-01-20 15:02:02.723394+00,"[""currentJobId""]",https://vnawaforiamopaudfefi.supabase.co/storage/v1/object/public/first2apply-public/linkedin.png,"[""/"",""/jobs/"",""/feed/""]",linkedin,false,true
2,Glassdoor,"[""https://www.glassdoor.com"",""https://www.glassdoor.it""]",2024-01-20 15:04:01.815691+00,,https://vnawaforiamopaudfefi.supabase.co/storage/v1/object/public/first2apply-public/glassdoor.png,"[""/"",""/index.htm/"",""/job/index.htm/""]",glassdoor,false,false
3,Indeed,"[""https://www.indeed.com""]",2024-01-20 15:04:34.53859+00,"[""vjk""]",https://vnawaforiamopaudfefi.supabase.co/storage/v1/object/public/first2apply-public/indeed.png,"[""/""]",indeed,false,false
4,Remote OK,"[""https://remoteok.com""]",2024-01-20 15:05:42.908282+00,,https://vnawaforiamopaudfefi.supabase.co/storage/v1/object/public/first2apply-public/remoteok.png,"[""/""]",remoteok,false,false
5,We Work Remotely,"[""https://weworkremotely.com""]",2024-01-20 15:06:51.637899+00,,https://vnawaforiamopaudfefi.supabase.co/storage/v1/object/public/first2apply-public/weworkremotely.png,"[""/""]",weworkremotely,false,false
6,Dice,"[""https://www.dice.com""]",2024-02-18 21:24:51.005635+00,,https://vnawaforiamopaudfefi.supabase.co/storage/v1/object/public/first2apply-public/dice.png,"[""/""]",dice,false,false
7,Flexjobs,"[""https://www.flexjobs.com""]",2024-02-19 18:47:19.776765+00,,https://vnawaforiamopaudfefi.supabase.co/storage/v1/object/public/first2apply-public/flexjobs.png,"[""/""]",flexjobs,false,false
8,Bestjobs,"[""https://www.bestjobs.eu""]",2024-02-20 20:11:05.704758+00,,https://vnawaforiamopaudfefi.supabase.co/storage/v1/object/public/first2apply-public/bestjobs.png,"[""/""]",bestjobs,true,false
9,Echojobs,"[""https://echojobs.io""]",2024-02-26 21:00:37.631948+00,,https://vnawaforiamopaudfefi.supabase.co/storage/v1/object/public/first2apply-public/echojobs.png,"[""/""]",echojobs,true,false
10,Remotive,"[""https://remotive.com""]",2024-02-29 20:19:10.0231+00,,https://vnawaforiamopaudfefi.supabase.co/storage/v1/object/public/first2apply-public/remotive.png,[],remotive,false,false
11,Remoteio,"[""https://www.remote.io""]",2024-03-02 19:41:10.646411+00,,https://vnawaforiamopaudfefi.supabase.co/storage/v1/object/public/first2apply-public/remoteio.png,"[""/""]",remoteio,false,false
12,Builtin,"[""https://builtin.com/""]",2024-03-02 20:35:38.822484+00,,https://vnawaforiamopaudfefi.supabase.co/storage/v1/object/public/first2apply-public/builtin.png,"[""/""]",builtin,false,false
13,Naukri,"[""https://www.naukri.com""]",2024-03-02 22:05:48.946062+00,,https://vnawaforiamopaudfefi.supabase.co/storage/v1/object/public/first2apply-public/naukri.png,"[""/""]",naukri,true,false
14,Robert Half,"[""https://www.roberthalf.com""]",2024-03-10 15:59:51.175727+00,,https://vnawaforiamopaudfefi.supabase.co/storage/v1/object/public/first2apply-public/robert-half.png,"[""/"",""/us/en/""]",robertHalf,false,false
15,ZipRecruiter,"[""https://www.ziprecruiter.com""]",2024-10-08 19:18:46.060992+00,,https://vnawaforiamopaudfefi.supabase.co/storage/v1/object/public/first2apply-public/ziprecruiter.png?t=2024-10-08T19%3A49%3A14.430Z,"[""/""]",zipRecruiter,true,false
16,USA Jobs,"[""https://www.usajobs.gov""]",2024-10-08 20:05:31.819605+00,,https://vnawaforiamopaudfefi.supabase.co/storage/v1/object/public/first2apply-public/usajobs.png,"[""/""]",usaJobs,false,false
17,Custom Job Board (Beta),"[""https://google.com/""]",2025-08-29 10:21:22.12473+00,,https://vnawaforiamopaudfefi.supabase.co/storage/v1/object/public/first2apply-public/custom.png,"[""/""]",custom,false,false
18,Hiring Cafe,"[""https://hiring.cafe""]",2026-05-10 09:00:00.000000+00,,https://vnawaforiamopaudfefi.supabase.co/storage/v1/object/public/first2apply-public/hiringcafe.svg,[],hiringCafe,false,false
